About.Version,Topology,ND,Inspect,ND
Aperture.ByTopologyContext,Aperture,ND,create,geometry
Aperture.Topology,Topology,Context,create,aperture
Bitwise.AND,Values,ND,ND,Bool
Bitwise.NOT,Values,ND,ND,Bool
Bitwise.OR,Values,ND,ND,Bool
Bitwise.XOR,Values,ND,ND,Bool
Cell.AdjacentCells,cell,ND,explore,cells
Cell.ByFaces,faces,ND,create,cell
Cell.ByShell,shell,ND,create,cell
Cell.CellComplexes,cell,ND,inspect,cellcomplexes
Cell.Edges,cell,ND,inspect,edges
Cell.ExternalBoundary,cell,ND,inspect,shell
Cell.Faces,cell,ND,inspect,faces
Cell.InternalBoundaries,cell,ND,inspect,shell
Cell.SharedEdges,cells,ND,inspect,edges
Cell.SharedFaces,cells,ND,inspect,faces
Cell.SharedVertices,cells,ND,inspect,vertices
Cell.Shells,cell,ND,inspect,shells
Cell.Type,cell,ND,inspect,type
Cell.Vertices,topology,ND,inspect,vertices
Cell.Wires,cell,ND,inspect,wires
CellComplex.ByCells,cells,ND,create,cellcomplex
CellComplex.ByFaces,faces,ND,create,cellcomplex
CellComplex.Cells,cellcomplex,ND,inspect,cells
CellComplex.Edges,cellcomplex,ND,inspect,edges
CellComplex.ExternalBoundary,cellcomplex,ND,inspect,cell
CellComplex.Faces,cellcomplex,ND,inspect,faces
CellComplex.InternalBoundaries,cellcomplex,ND,inspect,faces
CellComplex.NonManifoldFaces,cellcomplex,ND,inspect,faces
CellComplex.Shells,cellcomplex,ND,inspect,shells
CellComplex.Type,cellcomplex,ND,inspect,type
CellComplex.Vertices,cellcomplex,ND,inspect,vertices
CellComplex.Wires,cellcomplex,ND,inspect,wires
CellUtility.ByLoft,wires,ND,create,cell
CellUtility.Contains,cell,ND,inspect,vertex
CellUtility.InternalVertex ,Cell,ND,inspect,vertex
CellUtility.Volume,cell,ND,inspect,value
Cluster.ByTopologies,topologies,ND,create,cluster
Cluster.CellComplexes,cluster,ND,inspect,CellComplexes
Cluster.Cells,cluster,ND,inspect,Cells
Cluster.Edges,cluster,ND,inspect,edges
Cluster.Faces,cluster,ND,inspect,faces
Cluster.Shells,cluster,ND,inspect,shells
Cluster.Type,cluster,ND,inspect,type
Cluster.Vertices,cluster,ND,inspect,vertices
Cluster.Wires,cluster,ND,inspect,wires
Context.Topology,context,ND,inspect,topology
Dictionary.ByKeysValues,Keys,Values,create,dictionary
Dictionary.SetValueAtKey,keys,Values,modify,dictionary
Dictionary.ValueAtKey,key,ND,inspect,value
Edge.AdjacentEdges,edge,ND,explore,edges
Edge.ByStartVertexEndVertex,vertices,ND,create,edge
Edge.EndVertex,edge,ND,inspect,vertex
Edge.SharedVertices,edges,ND,inspect,vertices
Edge.StartVertex,edge,ND,inspect,vertex
Edge.Type,edge,ND,inspect,type
Edge.Vertices,edge,ND,inspect,vertices
Edge.Wires,edge,ND,explore,wires
EdgeUtility.AdjacentWires,edge,Topology,explore,wires
EdgeUtility.ByVertices,vertices,ND,create,edge
EdgeUtility.ParameterAtVertex,Edge,vertex,inspect,value
EdgeUtility.VertexAtParameter,Edge,value,inspect,vertex
Face.AddApertureDesign,aperture,ND,modify,face
Face.AddInternalBoundaries,wires,ND,modify,face
Face.AdjacentFaces,face,ND,explore,faces
Face.ByEdges,face,ND,create,geometry
Face.ByExternalInternalBoundaries,Wires,ND,create,face
Face.ByWire,Wire,ND,create,face
Face.Cells,face,ND,explore,cells
Face.Edges,face,ND,explore,edges
Face.ExternalBoundary,face,ND,inspect,wire
Face.InternalBoundaries,face,ND,inspect,wires
Face.SharedEdges,faces,ND,inspect,edges
Face.SharedVertices,faces,ND,inspect,vertices
Face.Shells,face,ND,explore,shells
Face.Type,face,ND,inspect,type
Face.Vertices,face,ND,explore,vertices
Face.Wires,face,ND,explore,wires
FaceUtility.AdjacentCells,face,ND,explore,cells
FaceUtility.AdjacentShells,face,ND,explore,shells
FaceUtility.Area,face,ND,inspect,value
FaceUtility.ByVertices,vertices,ND,create,face
FaceUtility.InternalVertex ,face,vertex,inspect,vertex
FaceUtility.IsInside,face,vertex,inspect,bool
FaceUtility.NormalAtParameters,face,UV,inspect,coordinates
FaceUtility.ParametersAtVertex,face,vertex,inspect,values
FaceUtility.TrimByWire,wire,ND,modify,face
FaceUtility.VertexAtParameters,face,UV,inspect,vertex
Graph.AddEdges,edges,ND,modify,graph
Graph.AddVertices,vertices,ND,modify,graph
Graph.AdjacentVertices,graph,vertex,explore,vertices
Graph.AllPaths,graph,vertices,inspect,paths
Graph.ByTopology,topology,ND,create,graph
Graph.Connect,vertices,ND,modify,graph
Graph.ContainsEdge,graph,ND,inspect,edge
Graph.ContainsVertex,graph,ND,inspect,vertex
Graph.DegreeSequence,graph,ND,inspect,value
Graph.Density,graph,ND,inspect,value
Graph.Diameter,graph,ND,inspect,value
Graph.Edge,vertices,ND,inspect,edge
Graph.Edges,vertices,ND,inspect,edges
Graph.IsComplete,graph,ND,inspect,bool
Graph.IsErdoesGallai,graph,ND,inspect,bool
Graph.IsolatedVertices,graph,ND,inspect,vertices
Graph.MaximumDelta,graph,ND,inspect,value
Graph.MinimumDelta,graph,ND,inspect,value
Graph.Path,graph,vertices,inspect,path
Graph.RemoveEdges,edges,ND,modify,graph
Graph.RemoveVertices,vertices,ND,modify,graph
Graph.ShortestPath,graph,vertices,inspect,path
Graph.ShortestPaths,graph,vertices,inspect,paths
Graph.TopologicalDistance,graph,vertices,inspect,value
Graph.Topology,graph,ND,create,topology
Graph.VertexDegree,graph,vertex,inspect,value
Graph.Vertices,graph,ND,inspect,vertices
Graph.VerticesAtCoordinates,graph,coordinates,inspect,vertices
Shell.ByFaces,faces,ND,create,shell
Shell.Cells,shell,ND,inspect,cells
Shell.Edges,shell,ND,inspect,edges
Shell.Faces,shell,ND,inspect,faces
Shell.IsClosed,shell,ND,inspect,value
Shell.Type,shell,ND,inspect,type
Shell.Vertices,shell,ND,inspect,vertices
Shell.Wires,shell,ND,inspect,wires
ShellUtility.ByLoft,Wires,ND,create,shell
Topology.AddApertures,Apertures,ND,modify,topology
Topology.AddContents,topology,ND,modify,topology
Topology.Analyze,topology,ND,inspect,string
Topology.Apertures,topology,ND,inspect,apertures
Topology.ByGeometry,geometry,ND,create,topology
Topology.ByImportedBRep,Brep,ND,create,topology
Topology.ByVerticesIndices,vertices,ND,create,topology
Topology.CellComplexes,Topology,ND,inspect,cellcomplex
Topology.Cells,Topology,ND,inspect,cells
Topology.CenterOfMass,Topology,ND,inspect,coordinate
Topology.Centroid,Topology,ND,inspect,coordinate
Topology.ClosestSimplestSubshape,Topology,ND,create,topology
Topology.Contents,topology,ND,inspect,string
Topology.Contexts,topology,ND,explore,topologies
Topology.Dictionary,topology,ND,inspect,dictionaries
Topology.Difference,topology,ND,modify,topology
Topology.Dimensionality,topology,ND,inspect,value
Topology.Divide,topology,ND,modify,topology
Topology.Edges,topology,ND,inspect,edges
Topology.ExportToBRep,topology,ND,create,brep
Topology.Faces,topology,ND,inspect,faces
Topology.Filter,topology,ND,modify,topology
Topology.Geometry,topology,ND,inspect,geometry
Topology.Impose,topology,ND,modify,topology
Topology.Imprint,topology,ND,modify,topology
Topology.Intersect,topology,ND,modify,topology
Topology.IsSame,topologies,ND,inspect,bool
Topology.Merge,topology,ND,modify,topology
Topology.RemoveContents,topology,ND,modify,ND
Topology.SelfMerge,topology,ND,modify,topology
Topology.SetDictionaries,dictionaries,ND,modify,topology
Topology.SetDictionary,dictionary,ND,modify,topology
Topology.ShallowCopy,topology,ND,create,topology
Topology.SharedTopologies,topologies,ND,inspect,topologies
Topology.Shells,topology,ND,inspect,shells
Topology.Slice,topology,ND,modify,topology
Topology.Type,topology,ND,inspect,type
Topology.TypeAsString,topology,ND,inspect,type
Topology.Union,topology,ND,modify,topology
Topology.Vertices,topology,ND,inspect,vertices
Topology.Wires,topology,ND,inspect,wires
Topology.XOR,topology,ND,modify,topology
TopologyUtility.AdjacentTopologies,topology,ND,explore,topologies
TopologyUtility.Rotate,value,ND,modify,topology
TopologyUtility.Scale,value,ND,modify,topology
TopologyUtility.Translate,value,ND,modify,topology
Vertex.ByCoordinates,coordinates,ND,create,vertex
Vertex.Coordinates,vertex,ND,inspect,coordinates
Vertex.Edges,vertex,ND,explore,edges
Vertex.Type,vertex,ND,inspect,type
Vertex.X,vertex,ND,inspect,Value
Vertex.Y,vertex,ND,inspect,Value
Vertex.Z,vertex,ND,inspect,Value
VertexUtility.AdjacentEdges,vertex,ND,explore,edges
VertexUtility.Distance,Vertex,topology,inspect,value
Wire.ByEdges,edges,ND,create,wire
Wire.Edges,wire,ND,inspect,edges
Wire.Faces,wire,ND,explore,faces
Wire.IsClosed,wire,ND,inspect,bool
Wire.Type,wire,ND,inspect,type
Wire.Vertices,wire,ND,inspect,vertices
WireUtility.AdjacentCells,wire,ND,explore,cells
WireUtility.AdjacentShells,wire,ND,explore,shells
WireUtility.RemoveCollinearEdges,wire,ND,modify,wire
